mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_subsample;param_objective;param_n_estimators;param_min_child_weight;param_max_depth;param_learning_rate;param_colsample_bytree;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;mean_test_score;std_test_score;rank_test_score
2.917;0.047;0.019;0.006;0.5;reg:squarederror;200;10;3;0.05;0.5;{'subsample': 0.5, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 10, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.5};-0.003;0.003;0.002;-0.001;0.000;0.002;34
6.732;0.044;0.029;0.013;0.8;reg:squarederror;200;5;5;0.01;1.0;{'subsample': 0.8, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 1.0};-0.008;-0.002;-0.005;0.014;-0.000;0.008;35
4.835;0.175;0.021;0.008;1.0;reg:squarederror;200;3;3;0.01;1.0;{'subsample': 1.0, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 1.0};-0.004;-0.002;-0.010;0.012;-0.001;0.008;36
2.521;0.118;0.013;0.004;0.8;reg:squarederror;100;3;3;0.05;1.0;{'subsample': 0.8, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 1.0};-0.004;0.002;-0.003;-0.000;-0.001;0.002;37
2.248;0.095;0.017;0.003;1.0;reg:squarederror;200;1;3;0.05;0.25;{'subsample': 1.0, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.25};-0.015;0.009;-0.003;0.003;-0.002;0.009;38
7.297;0.097;0.022;0.001;0.8;reg:squarederror;200;3;5;0.01;1.0;{'subsample': 0.8, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 1.0};-0.008;-0.002;-0.006;0.010;-0.002;0.007;39
1.215;0.034;0.014;0.002;0.7;reg:squarederror;100;1;3;0.1;0.25;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.25};-0.005;0.012;-0.011;-0.004;-0.002;0.008;40
7.381;0.081;0.051;0.009;0.5;reg:squarederror;200;3;9;0.01;0.7;{'subsample': 0.5, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 9, 'learning_rate': 0.01, 'colsample_bytree': 0.7};-0.014;0.000;-0.004;0.009;-0.002;0.008;41
7.061;0.103;0.024;0.005;0.8;reg:squarederror;200;1;5;0.01;1.0;{'subsample': 0.8, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 1.0};-0.008;-0.001;-0.009;0.009;-0.002;0.007;42
7.187;0.041;0.036;0.004;1.0;reg:squarederror;200;10;9;0.01;0.5;{'subsample': 1.0, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 10, 'max_depth': 9, 'learning_rate': 0.01, 'colsample_bytree': 0.5};-0.011;-0.001;-0.011;0.013;-0.002;0.010;43
7.720;0.041;0.024;0.005;1.0;reg:squarederror;200;10;5;0.01;1.0;{'subsample': 1.0, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 10, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 1.0};-0.014;-0.003;-0.008;0.011;-0.004;0.009;44
